molecule_chembl_id,canonical_smiles,value_IC50,value_pIC50,units,MW,LogP,HBD,HBA
CHEMBL207869,Fc1cccc(COc2ccc(Nc3ncncc3C#Cc3ncccn3)cc2Cl)c1,77.0,7.113509274827518,nM,431.8580000000002,4.781500000000002,1.0,6.0
CHEMBL205045,Fc1cccc(COc2ccc(Nc3ncncc3C#Cc3ccccn3)cc2Cl)c1,17.0,7.769551078621726,nM,430.8700000000001,5.386500000000003,1.0,5.0
CHEMBL438440,Fc1cccc(COc2ccc(Nc3ncncc3C#Cc3cccnc3)cc2Cl)c1,74.0,7.130768280269024,nM,430.8700000000001,5.386500000000003,1.0,5.0
CHEMBL206782,COC(=O)CCCC(=O)Nc1cccc(C#Cc2cncnc2Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1,31.0,7.508638306165727,nM,573.0240000000002,6.273300000000005,2.0,7.0
CHEMBL381080,CS(=O)(=O)CCC(=O)Nc1cccc(C#Cc2cncnc2Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1,50.0,7.301029995663981,nM,579.0530000000002,5.3647000000000045,2.0,7.0
CHEMBL207247,CC(=O)NCc1cccc(C#Cc2cncnc2Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1,60.0,7.221848749616356,nM,500.96100000000024,5.627600000000005,2.0,5.0
CHEMBL207410,CNC(=O)c1cccc(C#Cc2cncnc2Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1,79.0,7.102372908709558,nM,486.9340000000002,5.351100000000004,2.0,5.0
CHEMBL208358,CS(=O)(=O)Nc1cccc(C#Cc2cncnc2Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1,110.0,6.958607314841775,nM,522.9890000000003,5.363000000000004,2.0,6.0
CHEMBL438075,CC(=O)Nc1ccc(C#Cc2cncnc2Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)cc1,25100.0,4.600326278518962,nM,486.9340000000002,5.949900000000003,2.0,5.0
CHEMBL205798,CC(=O)Nc1cccc(C#Cc2cncnc2Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1,12.0,7.920818753952375,nM,486.9340000000002,5.949900000000004,2.0,5.0
CHEMBL205966,Nc1ccc(C#Cc2cncnc2Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)cc1,30.0,7.522878745280337,nM,444.89700000000016,5.573700000000003,2.0,5.0
CHEMBL205235,Nc1cccc(C#Cc2cncnc2Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1,42.0,7.376750709602099,nM,444.89700000000016,5.573700000000003,2.0,5.0
CHEMBL204625,Nc1ccccc1C#Cc1cncnc1Nc1ccc(OCc2cccc(F)c2)c(Cl)c1,63.0,7.200659450546418,nM,444.89700000000016,5.573700000000002,2.0,5.0
CHEMBL379093,Fc1cccc(COc2ccc(Nc3ncncc3C#Cc3ccccc3)cc2Cl)c1,79.0,7.102372908709558,nM,429.8820000000002,5.991500000000004,1.0,4.0
CHEMBL205870,C#Cc1cncnc1Nc1ccc(OCc2cccc(F)c2)c(Cl)c1,85.0,7.070581074285707,nM,353.784,4.573000000000002,1.0,4.0
CHEMBL205652,Fc1cccc(COc2ccc(Nc3ccncn3)cc2Cl)c1,320.0,6.494850021680094,nM,329.76200000000006,4.591700000000002,1.0,4.0
CHEMBL207815,COCCN1CC(C(N)=O)(N(C)Cc2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2OC)C1,6.0,8.221848749616356,nM,502.97800000000024,2.7924000000000007,2.0,8.0
CHEMBL425601,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C1(C(N)=O)CN(C(C)C)C1,9.0,8.045757490560675,nM,486.9790000000004,3.554400000000003,2.0,7.0
CHEMBL207718,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C1(C(N)=O)CN(C)C1,20.0,7.698970004336019,nM,458.92500000000035,2.775800000000001,2.0,7.0
CHEMBL383246,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C1(C(N)=O)CCN(C(C)C)CC1,25.0,7.6020599913279625,nM,515.0330000000004,4.334600000000004,2.0,7.0
CHEMBL207130,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C1(C(N)=O)CCN(C)CC1,9.0,8.045757490560675,nM,486.97900000000044,3.5560000000000027,2.0,7.0
CHEMBL380889,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)[C@@H](CN(C)C)C(N)=O,50.0,7.301029995663981,nM,460.9410000000003,3.0218000000000007,2.0,7.0
CHEMBL207445,COCC[C@@H](C(N)=O)N(C)Cc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OC,10.0,8.0,nM,461.9250000000001,3.4967000000000015,2.0,7.0
CHEMBL379905,COC[C@@H](C(N)=O)N(C)Cc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OC,30.0,7.522878745280337,nM,447.8980000000002,3.106600000000002,2.0,7.0
CHEMBL208286,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)[C@@H](CO)C(N)=O,20.0,7.698970004336019,nM,433.87100000000027,2.4525,3.0,7.0
CHEMBL376967,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(CCN(C)C)[C@@H](C)C(N)=O,120.0,6.920818753952375,nM,474.96800000000036,3.411900000000002,2.0,7.0
CHEMBL382823,COCCN(Cc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OC)[C@@H](C)C(N)=O,10.0,8.0,nM,461.92500000000024,3.4967000000000006,2.0,7.0
CHEMBL378370,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C1CCNC1=O,20.0,7.698970004336019,nM,429.88300000000027,3.4948000000000023,2.0,6.0
CHEMBL380006,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)[C@H](C)C(=O)N(C)C,40.0,7.3979400086720375,nM,445.9260000000003,4.083000000000004,1.0,6.0
CHEMBL211003,CNC(=O)[C@@H](C)N(C)Cc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OC,30.0,7.522878745280337,nM,431.89900000000017,3.740800000000002,2.0,6.0
CHEMBL207687,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)[C@@H](C)C(N)=O,8.0,8.096910013008056,nM,417.87200000000024,3.480100000000002,2.0,6.0
CHEMBL208118,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)[C@H](C)C(N)=O,9.0,8.045757490560675,nM,417.87200000000024,3.480100000000002,2.0,6.0
