molecule_chembl_id,canonical_smiles,value_IC50,value_pIC50,units
CHEMBL2048794,O=C1NCc2cccc(Oc3ccc(Nc4ncnc5ccn(CCO)c45)cc3Cl)c21,21.0,7.6777807052660805,nM
CHEMBL2048793,O=C1NCc2c(Oc3ccc(Nc4ncnc5ccn(CCO)c45)cc3Cl)cccc21,890.0,6.050609993355087,nM
CHEMBL2048792,O=C1Cc2ccc(Oc3ccc(Nc4ncnc5ccn(CCO)c45)cc3Cl)cc2N1,2300.0,5.638272163982407,nM
CHEMBL2048791,O=C1Cc2cc(Oc3ccc(Nc4ncnc5ccn(CCO)c45)cc3Cl)ccc2N1,960.0,6.017728766960431,nM
CHEMBL2048790,O=C1NCc2cc(Oc3ccc(Nc4ncnc5ccn(CCO)c45)cc3Cl)ccc21,510.0,6.292429823902063,nM
CHEMBL2048789,O=C1NCc2ccc(Oc3ccc(Nc4ncnc5ccn(CCO)c45)cc3Cl)cc21,7.8,8.10790539730952,nM
CHEMBL2048788,CC(C)(C)NC(=O)c1cccc(Oc2ccc(Nc3ncnc4ccn(CCO)c34)cc2Cl)c1,33.0,7.481486060122112,nM
CHEMBL1923007,OCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,34.0,7.468521082957745,nM
CHEMBL2064372,O=c1oc2cc3ncnc(Nc4ccc(F)c(Cl)c4)c3cc2n1CCCN1CCOCC1,78.0,7.107905397309519,nM
CHEMBL2064373,C#Cc1cccc(Nc2ncnc3cc4oc(=O)n(CCCN5CCOCC5)c4cc23)c1,380.0,6.42021640338319,nM
CHEMBL2064374,CCOC(=O)c1ccc(Nc2ncnc3cc4oc(=O)n(CCCN5CCOCC5)c4cc23)cc1,5800.0,5.236572006437063,nM
CHEMBL2064376,COc1ccc(Nc2ncnc3cc4oc(=O)n(CCCN5CCOCC5)c4cc23)cc1,380.0,6.42021640338319,nM
CHEMBL2064379,Cc1cc(C)cc(Nc2ncnc3cc4oc(=O)n(CCCN5CCOCC5)c4cc23)c1,75000.0,4.1249387366083,nM
CHEMBL2064380,CCOC(=O)c1ccc(O)c(Nc2ncnc3cc4oc(=O)n(CCCN5CCOCC5)c4cc23)c1,230.0,6.638272163982407,nM
CHEMBL2064382,CCOc1ccc(Nc2ncnc3cc4oc(=O)n(CCCN5CCOCC5)c4cc23)cc1,1400.0,5.853871964321762,nM
CHEMBL2064383,Cc1ccc(Nc2ncnc3cc4oc(=O)n(CCCN5CCOCC5)c4cc23)cc1,67.0,7.173925197299173,nM
CHEMBL2064384,O=c1oc2cc3ncnc(Nc4ccc(OCc5ccc(Cl)cc5)cc4)c3cc2n1CCCN1CCOCC1,990.0,6.00436480540245,nM
CHEMBL2064386,O=c1oc2cc3ncnc(Nc4ccc(OCc5ccccc5)cc4)c3cc2n1CCCN1CCOCC1,140.0,6.853871964321762,nM
CHEMBL2064388,O=c1oc2cc3ncnc(Nc4ccccc4O)c3cc2n1CCCN1CCOCC1,30000.0,4.522878745280337,nM
CHEMBL2064389,O=c1oc2cc3ncnc(Nc4ccc(F)c(F)c4)c3cc2n1CCCN1CCOCC1,570.0,6.2441251443275085,nM
CHEMBL2064390,CC(C)Oc1cccc(Nc2ncnc3cc4oc(=O)n(CCCN5CCOCC5)c4cc23)c1,3000.0,5.522878745280337,nM
CHEMBL2064391,CC(=O)c1cccc(Nc2ncnc3cc4oc(=O)n(CCCN5CCOCC5)c4cc23)c1,6800.0,5.167491087293763,nM
CHEMBL2064392,Cc1c(OCC(F)(F)F)ccnc1COc1ccc(Nc2ncnc3cc4oc(=O)n(CCCN5CCOCC5)c4cc23)cc1,7800.0,5.107905397309519,nM
CHEMBL2064393,Cc1c(OCC(F)(F)F)ccnc1COc1cccc(Nc2ncnc3cc4oc(=O)n(CCCN5CCOCC5)c4cc23)c1,99.0,7.00436480540245,nM
CHEMBL2064394,O=c1oc2cc3ncnc(Nc4ccc(OCc5ccccn5)cc4)c3cc2n1CCCN1CCOCC1,1700.0,5.769551078621726,nM
CHEMBL2064395,O=c1oc2cc3ncnc(Nc4ccc(OCc5ccc(Cl)cc5)c(Cl)c4)c3cc2n1CCCN1CCOCC1,61.0,7.214670164989233,nM
CHEMBL2064396,CC(C)(C)c1ccc(Nc2ncnc3cc4oc(=O)n(CCCN5CCOCC5)c4cc23)cc1,79000.0,4.102372908709558,nM
CHEMBL2064397,CN(c1ccccc1)c1ncnc2cc3oc(=O)n(CCCN4CCOCC4)c3cc12,7200.0,5.142667503568731,nM
CHEMBL2064398,C[C@@H](Nc1ncnc2cc3oc(=O)n(CCCN4CCOCC4)c3cc12)c1ccccc1,4500.0,5.346787486224656,nM
CHEMBL2064399,C[C@H](Nc1ncnc2cc3oc(=O)n(CCCN4CCOCC4)c3cc12)c1ccccc1,3700.0,5.431798275933005,nM
CHEMBL2064400,O=c1oc2cc3ncnc(NCc4ccccc4)c3cc2n1CCCN1CCOCC1,65000.0,4.187086643357144,nM
CHEMBL2064403,O=c1oc2cc3ncnc(Nc4ccc5[nH]ncc5c4)c3cc2n1CCCN1CCOCC1,120.0,6.920818753952375,nM
CHEMBL1990583,Nc1ncnn2ccc(C(=O)Nc3ccc(NC(=O)Nc4cccc(F)c4)cc3)c12,2090.0,5.679853713888946,nM
CHEMBL2070190,O=C(Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1)c1cccc2c1OCCO2,1630.0,5.787812395596042,nM
CHEMBL2070194,O=C(Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1)c1cccc2c1OCCO2,1290.0,5.889410289700751,nM
CHEMBL2070195,O=C(Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1)C1COc2ccccc2O1,3680.0,5.434152181326482,nM
CHEMBL2070196,O=C(Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1)C1COc2ccccc2O1,2750.0,5.560667306169737,nM
CHEMBL2070197,Brc1cccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCO5)cc23)c1,630.0,6.200659450546418,nM
CHEMBL2070191,Clc1cccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCO5)cc23)c1,570.0,6.2441251443275085,nM
CHEMBL2070192,Brc1cccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCCO5)cc23)c1,1020.0,5.991399828238082,nM
CHEMBL2070193,Clc1cccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCCO5)cc23)c1,790.0,6.102372908709558,nM
CHEMBL2070198,Brc1cccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCCCO5)cc23)c1,98.0,7.008773924307505,nM
CHEMBL2070199,Clc1cccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCCCO5)cc23)c1,216.0,6.665546248849069,nM
CHEMBL2070200,Brc1cccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCCCCO5)cc23)c1,1140.0,5.943095148663527,nM
CHEMBL2070201,Clc1cccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCCCCO5)cc23)c1,920.0,6.036212172654444,nM
CHEMBL2070045,COc1ccc2cc(-c3nn(C(C)C)c4ncnc(N)c34)ccc2c1.Cl,510.0,6.292429823902063,nM
CHEMBL2070048,CCOc1ccc2cc(-c3nn(C(C)C)c4ncnc(N)c34)ccc2c1.Cl,700.0,6.154901959985743,nM
CHEMBL2086760,CCN1CCC(Nc2ccc3c(c2)C(=C(c2ccc(Cl)cc2)c2ncc[nH]2)C(=O)N3)CC1,137.0,6.863279432843593,nM
CHEMBL1198361,Brc1cccc(Nc2ncnc3cc4c(cc23)OCCCO4)c1,85.0,7.070581074285707,nM
CHEMBL2087352,Brc1cccc(Nc2ncnc3cc4c(cc23)Oc2ccccc2O4)c1,120.0,6.920818753952375,nM
CHEMBL2087353,Brc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCO4)c1,55.0,7.259637310505756,nM
CHEMBL2087354,Cc1ccc(S(=O)(=O)N2CCOc3cc4ncnc(Nc5cccc(Br)c5)c4cc3OCC2)cc1,150.0,6.823908740944319,nM
CHEMBL2087355,Brc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1,5.0,8.301029995663981,nM
CHEMBL2087356,Brc1cccc(Nc2ncnc3cc4c(cc23)OCCOCOCOCCO4)c1,5.0,8.301029995663981,nM
CHEMBL2087357,Brc1cccc(Nc2ncnc3cc4c(cc23)OCCSCCO4)c1,7.0,8.154901959985743,nM
CHEMBL2087358,Clc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1,2.0,8.698970004336019,nM
CHEMBL2087359,Brc1cccc(Nc2ncnc3cc4c(cc23)OCCCSCCCO4)c1,8.0,8.096910013008056,nM
CHEMBL2087360,Fc1ccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)cc1Cl,2.0,8.698970004336019,nM
CHEMBL2087361,C#Cc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1,2.0,8.698970004336019,nM
CHEMBL2148044,CS(=O)(=O)CC(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,15.0,7.823908740944319,nM
